0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/data-table/jquery.dataTables.min.js HTTP/1.1" 200 86734
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/CadastroUsuario.js HTTP/1.1" 200 6020
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/util.js HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/CadastroProduto.js HTTP/1.1" 200 5659
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/Vendas.js HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/Categoria.js HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/Fornecedor.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/ContasPagar.js HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/ContasReceber.js HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/index.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [19/Nov/2020:21:10:17 -0300] "GET /MakeAndCia/js/bootstrap-notify.min.js HTTP/1.1" 200 8976
